source,direction,category,code,description,count,normalized_code,category_group
ФГОС,09.04.04,ПК-14: навыками создания программного обеспечения для ана,ПК-14,"владением навыками создания программного обеспечения для анализа, распознавания и обработки информации, систем цифровой обработки сигналов",1.0,ПК-14,Разработка ПО
ФГОС,09.04.04,ПК-15: навыками создания трансляторов и интерпретаторов я,ПК-15,владением навыками создания трансляторов и интерпретаторов языков программирования,1.0,ПК-15,Разработка ПО
ФГОС,09.04.04,ПК-16: навыками создания служб сетевых протоколов,ПК-16,владением навыками создания служб сетевых протоколов,1.0,ПК-16,Инфраструктура и DevOps
ФГОС,09.04.04,ПК-17: навыками создания компонент операционных систем и,ПК-17,владением навыками создания компонент операционных систем и систем реального времени,1.0,ПК-17,Инфраструктура и DevOps
ФГОС,09.04.04,ПК-18: навыками создания систем обработки текстов,ПК-18,владением навыками создания систем обработки текстов,1.0,ПК-18,Разработка ПО
ФГОС,09.04.04,ПК-19: навыками организации промышленного тестирования со,ПК-19,владением навыками организации промышленного тестирования создаваемого программного обеспечения,1.0,ПК-19,Безопасность
ФГОС,09.04.04,ПК-20: навыками разработки программного обеспечения для с,ПК-20,владением навыками разработки программного обеспечения для создания трехмерных изображений,1.0,ПК-20,Безопасность
ФГОС,09.04.01,"ОПК-1: культурой мышления, способностью выстраивать логик",ОПК-1,"культурой мышления, способностью выстраивать логику рассуждений и высказываний, основанных на интерпретации данных, интегрированных из разных областей науки и техники, выносить суждения на основании неполных данных",1.0,ОПК-1,Основы информатики
ФГОС,09.04.01,ОПК-2: анализировать и оценивать уровни своих компетенций,ОПК-2,способностью анализировать и оценивать уровни своих компетенций в сочетании со способностью и готовностью к саморегулированию дальнейшего образования и профессиональной мобильности,1.0,ОПК-2,Образование и саморазвитие
ФГОС,09.04.01,"ОПК-3: владением, по крайней мере, одним из иностранных я",ОПК-3,"владением, по крайней мере, одним из иностранных языков на уровне социального и профессионального общения, способностью применять специальную лексику и профессиональную терминологию языка",1.0,ОПК-3,Основы информатики
ФГОС,09.04.01,"ОПК-4: методами и средствами получения, хранения, перераб",ОПК-4,"владением методами и средствами получения, хранения, переработки и трансляции информации посредством современных компьютерных технологий, в том числе в глобальных компьютерных сетях",1.0,ОПК-4,Инфраструктура и DevOps
ФГОС,09.04.01,"ОПК-5: анализировать профессиональную информацию, выделят",ОПК-5,"способностью анализировать профессиональную информацию, выделять в ней главное, структурировать, оформлять и представлять в виде аналитических обзоров с обоснованными выводами и рекомендациями",1.0,ОПК-5,Анализ и системное проектирование
ФГОС,09.04.01,ПК-1: методов научных исследований и владение навыками и,ПК-1,знанием методов научных исследований и владение навыками их проведения,1.0,ПК-1,Разработка ПО
ФГОС,09.04.01,ПК-2: методов оптимизации и умение применять их при реше,ПК-2,знанием методов оптимизации и умение применять их при решении задач профессиональной деятельности,1.0,ПК-2,Разработка ПО
ФГОС,09.04.01,ПК-3: существующими методами и алгоритмами решения задач,ПК-3,владением существующими методами и алгоритмами решения задач распознавания и обработки данных,1.0,ПК-3,Архитектура и интеграция
ФГОС,09.04.01,ПК-4: существующими методами и алгоритмами решения задач,ПК-4,владением существующими методами и алгоритмами решения задач цифровой обработки сигналов,1.0,ПК-4,Управление проектами и процессами
ФГОС,09.04.01,ПК-5: существующих подходов к верификации моделей програ,ПК-5,пониманием существующих подходов к верификации моделей программного обеспечения (ПО,1.0,ПК-5,Управление проектами и процессами
ФГОС,09.04.01,ПК-6: применением перспективных методов исследования и р,ПК-6,применением перспективных методов исследования и решения профессиональных задач на основе знания мировых тенденций развития вычислительной техники и информационных технологий,1.0,ПК-6,Документация и стандарты
ФГОС,09.04.01,ПК-7: проектировать распределенные информационные систем,ПК-7,"способностью проектировать распределенные информационные системы, их компоненты и протоколы их взаимодействия",1.0,ПК-7,Данные и базы данных
