source,direction,category,code,description,count,normalized_code
Профстандарт,Системный программист,Разработка операционных систем,6.028,Трудовая функция: Отладка разрабатываемых компонентов Уровень; Наименование Код C/05.7 7; операционной системы квалификации; Происхождение обобщенной Заимствовано из; Оригинал X 566; трудовой функции оригинала; Код Рег,1,6.028
Профстандарт,Системный программист,Разработка операционных систем,6.028,Трудовая функция: Документирование разрабатываемой Уровень; Наименование Код C/06.7 7; операционной системы квалификации; Происхождение обобщенной Заимствовано из; Оригинал X 566; трудовой функции оригинала; Код Регист,1,6.028
Профстандарт,Системный программист,Разработка операционных систем,6.028,Трудовая функция: Сопровождение созданной Уровень; Наименование Код C/07.7 7; операционной системы квалификации; Происхождение обобщенной Заимствовано из; Оригинал X 566; трудовой функции оригинала; Код Регистрационный,1,6.028
Профстандарт,Системный программист,Организация разработки системного программного,6.028,Трудовая функция: Планирование разработки системного Уровень; Наименование Код D/01.7 7; программного обеспечения квалификации; Происхождение обобщенной Заимствовано из; Оригинал X 566; трудовой функции оригинала; Код ,1,6.028
Профстандарт,Системный программист,Организация разработки системного программного,6.028,Трудовая функция: Формирование группы программистов; Уровень; Наименование для разработки системного Код D/02.7 7; квалификации; программного обеспечения; Происхождение обобщенной Заимствовано из; Оригинал X 566; трудо,1,6.028
Профстандарт,Системный программист,Организация разработки системного программного,6.028,Трудовая функция: Организация работы программистов в; Уровень; Наименование группе по разработке системного Код D/03.7 7; квалификации; программного обеспечения; Происхождение обобщенной Заимствовано из; Оригинал X 566,1,6.028
Профстандарт,Системный программист,Организация разработки системного программного,6.028,Трудовая функция: Контроль деятельности рабочей группы; Уровень; Наименование программистов по разработке Код D/04.7 7; квалификации; системного программного обеспечения; Происхождение обобщенной Заимствовано из; Ориги,1,6.028
Профстандарт,Системный программист,Организация разработки системного программного,6.028,Трудовая функция: Предоставление заказчику результатов; Уровень; Наименование разработки системного программного Код D/05.7 7; квалификации; обеспечения; Происхождение обобщенной Заимствовано из; Оригинал X 566; трудов,1,6.028
Профстандарт,Архитектор программного обеспечения,Управление архитектурой изолированной,6.003,Трудовая функция: Выявление и согласование требований; Уровень; Наименование к программной системе с точки зрения Код A/01.6 6; квалификации; архитектуры; Происхождение обобщенной Заимствовано из; Оригинал X 67; трудов,1,6.003
Профстандарт,Архитектор программного обеспечения,Управление архитектурой изолированной,6.003,Трудовая функция: Выбор и моделирование; Уровень; Наименование архитектурного решения для Код A/02.6 6; квалификации; реализации программной системы; Происхождение обобщенной Заимствовано из; Оригинал X 67; трудовой фу,1,6.003
Профстандарт,Архитектор программного обеспечения,Управление архитектурой изолированной,6.003,Трудовая функция: Разработка разделов по архитектуре; Уровень; Наименование проектных и эксплуатационных Код A/03.6 6; квалификации; документов программной системы; Происхождение обобщенной Заимствовано из; Оригинал X ,1,6.003
Профстандарт,Архитектор программного обеспечения,Управление архитектурой изолированной,6.003,Трудовая функция: Контроль реализации и испытаний; Уровень; Наименование программной системы с точки зрения Код A/04.6 6; квалификации; архитектуры; Происхождение обобщенной Заимствовано из; Оригинал X 67; трудовой фун,1,6.003
